LA_code,LA_name,Age_total,total_rate,Aged_4_years,Aged_5_to_9,Aged_10_to_15,Aged_16_to_19,Aged_20_to_24,Aged_25_to_34,Aged_35_to_49,Aged_50_to_64,Aged_65_to_74,Aged_75_to_84,Aged_85_plus,good_health_rate,bad_health_rate,2km_rate,5km_to_10km_rate,20km_to_30km_rate,40km_to_60km_rate,WFH,not_deprived_rate,deprived_1,deprived_2,deprived_3,deprived_4,no_car_rate,one_car_rate,two_car_rate,three_car_rate
E07000040,East Devon,150821,1.2,43.04,51.1,61.27,37.07,41.04,94.91,159.31,212.4,147.52,105.62,46.73,463.95,38.44,50.49,45.05,22.24,4.5,131,507.4,353.67,116.92,20.74,1.27,26.61,82.68,62.39,24.41
E07000041,Exeter,130712,0.87,45.01,47.44,55.79,81.03,125.08,137.63,177.24,164.55,85.52,56.07,24.63,508.74,35.69,90.57,25.05,11.5,5.91,139.89,498.17,331.83,133.68,33.85,2.47,41.05,73.33,36.4,10.88
E07000042,Mid Devon,82848,0.83,48.56,55.34,72.88,41.27,43.37,103.93,174.95,219.64,127.93,80.41,31.72,471.62,37.24,61.97,42.09,39.12,10.3,144.4,491.16,350.8,130.43,26.29,1.32,24.15,73.06,60.13,27.63
E07000043,North Devon,98608,0.56,45.76,53,67.74,39.8,42.97,105.65,165.19,221.76,134.08,88.61,35.44,467.86,44.13,81.17,44.16,14.31,7.16,111.12,479.31,350.11,139.13,29.36,2.08,32.56,79.68,56.61,23.04
E07000044,South Hams,88628,0.51,39.82,50.11,64.19,37.58,37.69,90.41,159.77,237.44,152.32,93.41,37.26,490.8,38.51,44.41,42.9,23.66,5.82,151.77,529.89,335.07,112.65,21.1,1.3,23.07,78.89,66.66,28.37
E07000045,Teignbridge,134805,0.78,43.8,51.12,63.39,36.52,41.45,101.2,166.37,225.85,142.35,91.18,36.76,455.67,42.57,49.4,55.87,24.09,6.4,129.79,494.19,349.54,129.7,24.78,1.79,28.4,81.01,61.86,25.76
E07000046,Torridge,68122,0.65,41.15,51.28,62.52,36.19,40.79,95.53,153.58,235.28,154.11,94.01,35.57,438.21,47.21,52.49,32.69,24.22,6.75,114.15,461.3,359.5,147.44,29.78,1.97,27.45,83.89,61.11,27.42
E07000047,West Devon,57093,0.53,38.46,48.17,66.33,39.51,37.08,88.78,157.66,239.03,150.88,96.77,37.33,455.52,41.69,51.04,39.2,25.76,16.34,139.65,493.04,351.88,127.97,24.98,2.14,22.89,76.49,61.81,27.76
E07000061,Eastbourne,101685,3.11,46.4,54.37,67.49,41.89,51.37,115.46,177.65,200.32,121.14,84.13,39.76,432.28,48.64,81.13,19.76,20.13,4.83,99.57,432.04,359.58,161.94,41.26,5.17,53.36,90.12,44.08,13.62
E07000062,Hastings,91006,2.64,53,56.75,69.28,40.18,49.25,125,187.55,216.6,113.54,63.8,25.04,421.9,55.22,71.16,30.15,17.05,5.65,120.24,420.44,350.38,173.08,51.33,4.77,57.62,84.9,41.43,13.64
E07000063,Lewes,99912,2.66,45.45,53.17,68.36,41.09,41.43,95.18,173.72,216.69,134.07,90.2,40.65,455.73,43.01,44.07,41.41,16.55,5.19,157.27,479.17,350.3,136.81,31.29,2.42,35.93,84.4,51.68,19.19
E07000064,Rother,93111,3.75,40.08,45.42,60.79,36.49,40.3,86.41,142.1,224.16,163.11,112.8,48.34,422.74,46.88,38.66,44.75,16.89,6.57,132.16,457.25,367.56,145.17,28.31,1.71,32.75,86.58,59.17,25.97
E07000065,Wealden,160146,2.34,44.84,52.86,67.78,39.1,41.62,96.12,165.19,227.17,136.71,92.01,36.59,482.17,35.14,35.11,40.88,30.09,8.3,162.62,524.84,342.61,112.9,18.85,0.81,19.23,68.09,63.87,30.55
E07000066,Basildon,187576,2.96,65.02,66.53,75.88,42.58,51.38,139.98,197.83,190.75,91.42,55.99,22.64,484.68,38.54,47.51,43.6,19.37,12.28,145.14,461.7,343.39,152.59,39.43,2.89,31.04,69.53,48,17.16
E07000067,Braintree,155267,2.59,54.44,57.84,72.55,40.54,48.53,122.98,190.74,207.91,112.07,67.6,24.8,472.57,34.98,49.57,35.28,35.3,17.8,141.26,499.91,341.5,129.91,27.2,1.47,24.07,67.46,58.15,25.49
E07000068,Brentwood,77045,2.91,55.55,59.41,69.08,39.78,47.18,128.08,195.42,203.88,100.79,67.08,33.76,539.79,28.74,31.9,33.94,30.97,3.92,217.85,554.55,314.52,107.13,22.14,1.67,24.21,76.01,54.19,21.82
E07000069,Castle Point,89591,4.07,48.14,53.98,67.26,40.67,50.74,109.67,170.44,206.83,130.59,89.99,31.69,456.8,42.49,39.71,60.68,21.53,18.96,130.28,438.31,368.05,157.75,33.83,2.06,26.05,68.18,54.65,25.28
