LA_code,LA_name,Age_total,total_rate,Aged_4_years,Aged_5_to_9,Aged_10_to_15,Aged_16_to_19,Aged_20_to_24,Aged_25_to_34,Aged_35_to_49,Aged_50_to_64,Aged_65_to_74,Aged_75_to_84,Aged_85_plus,good_health_rate,bad_health_rate,2km_rate,5km_to_10km_rate,20km_to_30km_rate,40km_to_60km_rate,WFH,not_deprived_rate,deprived_1,deprived_2,deprived_3,deprived_4,no_car_rate,one_car_rate,two_car_rate,three_car_rate
E07000132,Hinckley and Bosworth,113640,1.82,50.04,55.88,67.63,38.28,44.31,121.51,186.8,211.98,121.23,75.48,26.87,465.62,36.64,49.74,53.75,23.94,6.17,146.66,514.12,336.88,123.65,24.27,1.07,24.09,75.36,65.17,24.7
E07000133,Melton,51751,1.76,46.74,54.59,68.85,38.18,43.48,106.43,173.14,233.72,128.94,77.16,28.77,478.21,31.34,75.09,35.83,44.64,9.58,140.31,530.56,337.52,111.38,19.42,1.1,25,74.94,64.1,26.67
E07000134,North West Leicestershire,104706,2.02,52.09,56.08,68.9,40.89,55.28,124.02,190.69,211.47,111.89,66.96,21.74,469.7,37.4,47.02,50.32,33,7.38,142.05,515.38,331.53,126.12,25.82,1.16,23.26,70.19,65.37,25.66
E07000135,Oadby and Wigston,57753,2.79,49.57,60.71,72.17,61.31,50.66,115.23,181.6,195.71,104.55,73.23,35.25,460.03,37.57,46.98,88.36,11.91,6.18,129.47,491.23,346.18,136.69,24.28,1.63,25.75,63.37,47.43,16.83
E07000136,Boston,70503,2.23,51.71,59.03,72.48,41.76,51.22,128.29,191.35,199.82,108.32,68.59,27.42,421.93,45.29,87.26,49.12,46.28,12.86,50.47,408.58,386.04,162.39,40.17,2.82,33.91,74.28,46.93,18.82
E07000137,East Lindsey,142292,2.24,39.6,45.88,61.24,34.59,41.63,94.39,143.12,235.02,164.13,105.33,35.06,379.04,63.03,65.74,35.63,31.42,13.04,77.26,397.77,369.18,184.73,45.62,2.71,34.57,91.78,57.35,23.4
E07000138,Lincoln,103813,1.58,49.31,51.96,60.04,75.85,131,150.32,173.15,163.83,78.23,46.6,19.72,438.21,42.97,88,43.85,32.61,9.14,91.04,451.53,344.61,157.11,43.88,2.87,47.58,74.78,35.77,9.54
E07000139,North Kesteven,118075,1.65,46.83,56.01,67.03,39.18,46.58,116.01,177.34,217.18,121.05,83.96,28.82,462.82,38.19,40.11,65.29,40.76,10.63,130.48,522.68,336.51,119.28,20.83,0.7,21.3,76.97,64.64,23.58
E07000140,South Holland,95119,1.86,49.76,54.05,65.71,36.69,47.81,116.52,177.79,213.09,124.52,81.77,32.3,414.07,44.87,60.63,41.42,42.08,7.26,83.67,440.44,373.56,155.34,29.31,1.36,23.6,74.26,59.23,26.02
E07000141,South Kesteven,143400,1.89,47.09,56.7,73.28,39.83,42.61,108.59,182.03,218.94,123.41,78.49,29.03,460.06,38.05,69.21,24.97,34.32,14.07,135.48,516.95,337.01,122.1,22.99,0.96,28.05,79.05,62.85,22.15
E07000142,West Lindsey,95152,1.69,46.29,55.42,66.84,38.02,42.97,103.87,166.74,227.79,136.53,86.6,28.92,438.17,44.42,46.41,45,41.81,10.91,115.08,492.46,341.47,134.72,30.06,1.27,27.98,81.61,63.81,24.64
E07000143,Breckland,141478,2.09,47.96,54.22,64.81,36.84,47.62,117.35,170.39,211.3,130.64,85.83,33.05,425.56,43.18,62.14,30.73,49.23,12.58,101.81,454.88,368.81,145.56,29.38,1.38,24.19,73.52,58.93,25.37
E07000144,Broadland,131722,2.35,45.07,51.93,64.06,38.27,42.01,103.56,179.09,217.37,132.12,89.84,36.69,450.74,36.52,33.32,70.93,19.07,3.92,143.74,509.88,345.67,123.46,20.25,0.73,21.11,79.8,65.89,25.49
E07000145,Great Yarmouth,99743,2.08,49.66,53.78,67.29,40.84,50.39,117.18,169.27,211.6,128.06,82.22,29.71,401.89,56.24,69.59,38.45,25.99,12.08,68.31,381.53,367.63,191.4,55.47,3.95,50.66,83.95,47.78,17.05
E07000146,King's Lynn and West Norfolk,154318,2.52,47.04,54.21,63.56,36.71,46.51,114.95,166.71,211.51,133.45,90.05,35.29,417.4,46.05,55.81,39.57,28.86,14.85,91.77,439.67,367.78,156,34.54,2.02,28.75,78.58,58.06,25.73
E07000147,North Norfolk,102988,1.8,35.58,42.95,55.81,33.73,37.7,86.82,141.87,230.55,172.78,114.39,47.82,393.44,46.81,50.07,36.12,32.25,7.18,98.13,444.04,376.5,148.55,29.21,1.7,32.21,96.38,64.31,27.73
E07000148,Norwich,143926,1.39,48.17,52.78,59.98,62.37,114.44,164.98,191.89,155.94,79.69,48.09,21.67,439.34,44.34,77.9,38.68,12.58,3.31,135.26,449.62,343.91,155.99,47.35,3.13,65.59,93.09,33.66,8.24
E07000149,South Norfolk,141948,1.53,49.24,57.11,67.86,37.66,42.11,109,183.53,210.37,126,84.01,33.12,470.19,34.36,35.22,59.78,28.63,7.62,150.33,516.73,345.83,115.89,20.54,0.99,19.62,74.94,65.66,26.78
E07000170,Ashfield,126305,2.99,53.66,60.99,71.07,40.66,51.08,130.5,186.12,208.9,105.46,69.07,22.49,424.02,55,56.52,76.63,19.43,3.9,90.73,431.45,343.48,176.36,46.45,2.26,38.37,78.34,52.09,17.47
E07000171,Bassetlaw,117804,1.82,50.65,55.7,67.13,38.08,48.63,120.28,177.41,220.72,119.52,75.36,26.51,438.69,47.69,64.85,44.23,39.29,8.92,91.18,468.24,343.02,150.17,37.15,1.42,32.75,77.64,58.38,22.04
E07000172,Broxtowe,110944,2.35,47.69,54.53,63.64,41.49,57.41,131.19,182.36,203.35,115.17,74.43,28.74,462.67,40.22,41.74,74.22,9.72,2.86,155.95,500.2,337.84,132.3,28.62,1.05,37.76,82.87,53.42,15.96
E07000173,Gedling,117258,2.47,50.98,57.36,69.07,38,45.17,123.18,190.13,210.48,115.4,72.25,27.99,460.32,41.28,40.58,83.12,15.28,3.44,146.86,507.28,329.27,133.94,28.36,1.14,36.59,84.17,56.09,16.43
E07000174,Mansfield,110486,2.67,53.94,59.65,70.26,37.56,49.83,136.69,189.88,209.38,105.19,64.3,23.32,426.51,56.56,55.16,73.28,21.98,4.31,79.26,424.94,346.49,175.79,50.59,2.19,41.32,78.16,52.76,16.73
E07000175,Newark and Sherwood,122954,1.81,49.3,54.33,67.07,40.23,49.58,119.85,177.77,216.83,121.31,76.38,27.36,446.95,45.16,56.24,36.83,38.33,7.48,120.26,491.29,334.55,139.65,32.69,1.84,30.41,76.95,58.35,22.42
E07000176,Rushcliffe,119078,1.7,49.13,57.63,72.57,42.63,52.98,108.42,194.18,206.28,111.83,72.96,31.37,531.04,30.48,28.81,55.4,20.15,4.03,207.26,583.86,305.34,95.27,15.12,0.42,23.61,70.63,62.21,19.04
E07000177,Cherwell,161013,1.43,58.1,58.49,72.39,40.06,49.15,142.32,207.95,197.44,93.69,57.12,23.3,507.78,29.18,79.9,35.34,34.22,9.07,169.82,541.07,325.61,108.66,23.22,1.44,24.65,67.79,54.55,20.5
E07000178,Oxford,162039,1.08,44.04,48.46,63.77,87.57,135.72,176.94,181.73,144.69,62.25,37.71,17.11,547.81,26.05,79.84,26.06,5.7,3.59,175.43,521.95,321.89,121.53,31.99,2.64,37.31,52.78,20.11,6.02
E07000179,South Oxfordshire,149080,1.37,53.53,58.95,72.61,39.62,43.29,118.28,198.95,209.65,104.01,72.48,28.63,534.22,25.7,46.34,44.55,26.66,7.41,219.41,586.61,309.09,88.02,15.55,0.73,18.39,65.56,61.35,24.87
E07000180,Vale of White Horse,138910,1.35,56.14,60.23,74.29,40.81,44.99,128.77,199.73,197.31,102.45,67.01,28.25,523.55,25.81,42.47,54.09,26.88,4.98,210.49,581.48,309.8,91.34,16.52,0.85,20.98,68.23,60.26,21.86
E07000181,West Oxfordshire,114233,1.57,50.07,57.6,71.15,39.56,46.6,119.84,187.7,210.85,111.08,73.97,31.57,512.64,28,64.04,53.9,31.26,4.82,180.59,566.17,318.37,97.04,17.59,0.83,20.28,70.22,61.24,24.67
E07000192,Cannock Chase,100529,2.64,55.37,56.66,67.43,39.75,52.17,137.18,184.26,212.64,106.08,66.31,22.15,433.3,49.29,55.05,52.2,32.22,4.72,94.79,455.72,338.24,163.5,41.05,1.49,31.62,73.88,59.28,22.09
E07000193,East Staffordshire,124019,3.14,56.17,60.26,73.15,42.78,52.47,135.42,190.09,203.53,99.94,63.01,23.18,465.39,37.39,75.43,48.25,28.99,8.44,106.72,493.59,339.38,134.11,31.08,1.83,31.62,68.09,52.14,19.2
E07000194,Lichfield,106439,2.64,49.15,53.11,65.36,39.55,47.5,113,178.94,213.54,123.21,89.08,27.56,471.1,39.1,39.73,55.68,34.98,5.74,149.94,520.07,328.03,126.28,24.31,1.32,23.22,70.57,64.41,25.57
E07000195,Newcastle-under-Lyme,123306,2.84,46.98,52.79,63.37,51.42,69.58,116.9,175.13,206.93,114.54,73.74,28.61,439.47,48.43,53.59,72.45,14.74,6.62,105.5,467.64,341.11,153.3,36.45,1.5,36.45,77.91,54.11,19.24
E07000196,South Staffordshire,110474,2.27,44.56,49.88,60.37,37.51,49.16,109.17,170.73,227.49,128.46,91.16,31.52,450.04,41.08,27.76,75.85,27.74,6.54,127.35,502.87,336.4,133.87,26.11,0.76,21.24,65.27,61.16,26.62
E07000197,Stafford,136870,2.34,49.08,54.12,66.68,36.32,46.26,119.54,183.33,214.88,119.35,81.6,28.85,467.83,38.01,53.79,45.19,35.53,7.32,144.48,529.85,327.04,117.82,23.98,1.32,28.59,78.5,63.36,22.02
E07000198,Staffordshire Moorlands,95851,2.8,42.49,49.97,63.93,39.55,42.98,100.11,166.82,232.04,139.1,91.32,31.67,446.58,43.23,49.91,66.73,21.72,8.82,114.23,493.26,341.61,137.45,27.13,0.54,25.53,77.47,64.6,27.66
E07000199,Tamworth,78646,2.45,56.48,59.34,73.09,42.72,53.45,136.47,190.59,198.24,108.97,61.36,19.28,455.18,43.66,60.22,40.65,38.64,4.27,104.75,456.98,345.99,158.84,36.96,1.22,31.93,70.04,54.57,18.42
E07000200,Babergh,92332,2.21,43.01,51.46,67.57,40.04,43.43,98.19,168.99,221.58,138.47,92.9,34.37,463.24,34.93,47.79,39.62,33.35,7.33,142.65,511.83,347.67,116.37,23.21,0.92,22.08,73.17,64.73,29.57
E07000202,Ipswich,139644,2.28,59.62,64.8,74.76,45.98,57.07,148.31,204.05,180.63,87.82,53.08,23.87,456.36,39.83,79.96,39.37,14.42,5.86,119.33,451.96,346.26,156.82,42.33,2.62,45.05,79.71,43.58,13.24
E07000203,Mid Suffolk,102702,1.72,43.83,50.56,65.25,40.04,45.07,108.98,169.81,223.5,136.65,84.58,31.73,469.37,33.63,35.03,46.25,40.75,11.31,151.18,521.7,340.96,116.03,20.39,0.93,18.22,68.2,67.24,32.77
E07000207,Elmbridge,138757,1.92,60.16,71.08,84.82,40.37,36.98,97.23,228.66,201.83,90.46,59.1,29.31,589.09,21.89,29.87,40.88,20.54,1.3,259.32,618.65,281.11,83.51,15.76,0.97,17.88,71.28,51.9,19.44
E07000208,Epsom and Ewell,80939,2.71,57.15,65.77,78.87,44.21,48.99,108.64,221.64,194.2,93.27,61.08,26.19,542.69,23.97,41.82,47.78,18.27,1.88,221.52,575.94,305.67,97.6,19.03,1.75,21.35,67.74,44.8,15.84
E07000209,Guildford,143646,1.53,46.53,54.37,68.24,64.29,91.52,119.91,190.91,189.12,90.7,57.86,26.56,547.67,24.58,49.4,39.09,16.14,8.76,214.51,577.17,306.73,95.26,19.26,1.58,20.84,58.5,50.65,20.68
E07000210,Mole Valley,87386,2.73,45.85,53.52,72.8,41.51,41.92,94.26,187.51,225.04,118.23,82.11,37.25,525.85,28.62,36.37,41.4,20.64,3.12,221.76,567.1,309.9,99.3,21.38,2.31,20.85,70.71,60.2,28.86
E07000211,Reigate and Banstead,150852,2.64,59.94,66.42,77.23,39.06,43.35,125.18,216.87,194.81,91.97,57.52,27.64,537.98,26.38,41.96,47.84,20.91,4.07,209.4,570.57,308.34,98.9,20.55,1.64,21.19,64.65,51.55,20.01
E07000212,Runnymede,88085,1.76,54.28,54.36,65.78,63.8,84.5,120.69,197.29,187.17,86.08,58,28.06,523.68,28.23,44.26,53.15,16.34,2.5,187.66,533.98,324.53,117.86,22.18,1.43,21.72,62.68,51.42,20.61
E07000213,Spelthorne,102953,1.98,58.38,61.93,70.01,38.78,47.8,130.72,213.27,198.54,90.1,63.02,27.45,504.24,29.84,35.69,76.38,18.86,2.15,179.66,509.11,335.56,125.82,27.39,2.13,24.28,69.25,51.6,19.76
E07000214,Surrey Heath,90460,2.52,49.5,59.1,75.67,41.82,46.78,114.3,204.03,211.84,99.45,67.3,30.2,538.03,24.86,42.33,48.22,24.64,8.45,204.61,579.23,310.82,91.45,17.39,1.11,15.68,54.33,60.66,27.79
E07000215,Tandridge,87878,2.39,56.59,60.16,77.22,42.59,44.94,102.38,195.68,211.68,106.63,70.48,31.65,522.51,29.25,26.74,50.47,24.76,4.53,209.85,559.71,316.44,101.12,21.34,1.4,18.53,64.78,54.31,26.7
E07000216,Waverley,128231,2.34,50.44,61.05,80.32,48.81,43.85,91.75,198.83,206.54,106.3,75.61,36.49,546.46,25.24,38.24,30.3,15.25,12.79,225.6,595.41,299.38,87.88,16.47,0.86,18.74,63.71,59.77,25.08
E07000217,Woking,103940,1.79,59.79,64.89,76.98,39.45,47.05,132.01,228.11,186.17,86,53.74,25.81,532.99,26.71,44.6,51.34,13.84,4.56,226.77,562.1,310.13,103.5,22.42,1.84,23.4,66.37,50.04,19.12
E07000218,North Warwickshire,65035,2.31,49.28,55.91,66.04,39.36,48.2,119.81,177.7,224.22,118.38,74.74,26.34,454.94,44.04,40.33,70.05,34.24,4.95,129.33,472.51,349.3,144.74,32.17,1.28,24.23,68.82,60.61,26.17
E07000219,Nuneaton and Bedworth,134204,2.04,57.79,60.84,72.21,40.39,52.69,137.51,189.15,198.64,103.07,65.5,22.21,443.04,45.27,55.39,64.56,29.38,4.02,107.75,450.52,346,159.53,41.3,2.65,34.54,72.35,52.64,18.26
E07000220,Rugby,114366,1.51,55.68,62.19,76.04,41.38,48.7,136.36,205.64,192.06,92.12,65.67,24.17,488.29,33.99,56.69,57.11,24.55,7.48,155.57,533.78,330.5,111.26,23.52,0.94,24.66,68.6,55.68,20.04
E07000221,Stratford-on-Avon,134727,2,46.35,51.54,66.04,36.9,40.1,105.15,177.31,224.86,127.84,89.37,34.53,496.39,31.73,44.99,38.29,31.54,8.28,194.1,565.11,317.84,97.91,18.63,0.5,21.58,72.96,70.05,30.21
E07000222,Warwick,148452,1.63,50.09,54.96,64.69,52.08,72.35,135.28,195.15,186.6,96.38,65.43,26.98,520.92,29.59,55.86,38.47,18.48,4.37,219.16,574.18,302.1,99.49,22.45,1.77,29.54,73.03,56.62,18.73
E07000223,Adur,64547,1.35,49.45,60.56,69.61,38.98,41.32,105.63,194.7,203.67,118.01,83.94,34.15,453.5,43.38,51.33,61.37,11.57,3.45,143.55,454.66,356.67,151.53,33.82,3.33,33.96,81.55,51.28,17.09
E07000224,Arun,164896,1.94,43.99,49.92,59.75,36.96,44.94,107.56,163.99,208.56,141.2,100.29,42.85,431.88,43.12,54.17,67.16,17.01,7.45,109.52,459.26,364.84,144.71,28.55,2.66,32.75,83,56.86,21.56
E07000225,Chichester,124068,2.32,42.79,49.5,63.74,42.27,52.69,101.18,161.81,214.95,135.07,94.97,41.03,490.37,33.68,56.93,35.75,21.29,9.55,156.24,534.7,332.83,109.34,21.88,1.26,26.78,77.78,58.95,26.75
E07000226,Crawley,118495,1.69,64.48,68.15,77.72,43.22,55.33,157.12,224.44,176.6,74.59,38.69,19.67,490.75,33.55,56.26,47.87,13.52,12.96,134.21,460.04,347.48,152.32,37.54,2.62,30.36,62.3,41.01,13.79
E07000227,Horsham,146776,1.53,50.19,54.59,73.13,40.42,42.14,108.7,185.4,217.57,117.38,77.33,33.15,514.74,27.71,38.92,35.22,28.62,10.66,200.42,567.13,317.49,96.79,17.17,1.41,20.3,69.35,63.85,27.08
E07000228,Mid Sussex,152570,2.09,54.5,61.49,75.72,40.65,41.77,110.43,206.14,202.88,105.56,70.06,30.8,529.21,27.4,56.07,38.1,20.59,12.58,205.24,573,313.11,95.94,16.86,1.09,21.33,72.51,56.75,21.81
E07000229,Worthing,111338,1.87,48.93,54.93,66.65,38.75,46.64,119.94,195.24,204.78,111.99,76.19,35.94,452.73,40.65,78.31,27.97,20,4.81,150.6,477.5,347.74,138.78,32.28,3.69,43.23,87.27,50.74,16.73
E07000234,Bromsgrove,99186,2.49,52.02,57.34,72.96,41.53,43.26,104.16,185.87,213.59,115.82,79.43,34.02,506.65,33.56,34.44,53.69,24.22,3.7,165.71,547.36,320.38,110.44,21.03,0.8,19.68,62.57,64.59,26.22
E07000235,Malvern Hills,79483,1.64,39.18,49.62,66.77,41.92,41.32,90.43,158.18,232.73,143.63,96.67,39.54,464.58,38.95,45.19,43.08,24.08,8.35,157.05,526.74,333.64,117.72,20.95,0.94,22.82,73.08,65.2,31.6
E07000236,Redditch,87034,1.98,57.36,62.06,73.45,41.43,51.55,139.67,200.3,188.57,109.01,57.99,18.6,465.11,40.75,68,35.17,33.23,2.9,113.43,468.89,343.91,147.76,36.78,2.67,30.77,68.87,54.96,20.07
E07000237,Worcester,103866,1.68,50.83,56.2,68.81,49.33,71.62,140.33,192.92,193.88,94.98,58.46,22.64,473.88,37.38,86.95,30.64,23.22,6.19,131.01,500.88,330.84,131.15,34.73,2.42,37.94,78.38,51.99,17.08
E07000238,Wychavon,132495,1.87,47.19,52.3,64.86,38.08,43.23,109.19,174.53,222.04,131.21,85.47,31.9,474.25,36.45,46.34,51.45,36.71,8.97,144.96,516.53,337.36,120.68,23.97,1.45,22.17,69.14,66.26,29.84
E07000239,Wyre Forest,101609,2.45,47.31,54.53,65.9,38.61,45.94,111.3,171.23,212.56,132.82,89.81,29.98,433.07,47.42,59.88,41.04,37.72,5.22,103.92,458.9,347.73,152.86,38.18,2.34,32.33,80.73,61.58,24.29
E07000240,St Albans,148173,2.16,58.44,69.7,88.34,42.18,40.11,108.66,223.66,196.82,87.7,57.64,26.75,575.29,23.76,39.38,39.04,18.74,3.22,260.47,606.41,289.34,84.88,18.38,1,20.34,69.88,51.33,16.95
E07000241,Welwyn Hatfield,119839,2.05,55.29,60.74,70.49,56.02,88.25,133.25,198.47,180.58,79.97,52.06,24.89,516.49,30.57,57.63,43.02,23.89,3.76,175.24,515.18,332.73,123.62,26.84,1.64,26.14,61.81,43.84,16.88
E07000242,East Hertfordshire,150160,1.53,55.38,59.48,78.31,41.57,46.44,122.95,204.83,208.62,97.28,59.56,25.59,539.8,26.08,45.5,43.15,24.63,10.62,208.3,571.5,309.8,99.98,18.07,0.65,21.16,69.2,57.51,22.72
E07000243,Stevenage,89501,1.71,62.77,66.19,75.05,41.57,53.54,151.24,203.76,194.5,80.57,48.8,22,476.79,36.85,61.92,29.24,22.25,14.66,143.86,477.09,336.49,146.51,36.48,3.42,33.66,69.17,48,15.56
E07000244,East Suffolk,246055,2.04,43.22,50.82,65.85,39.08,43.53,99.64,160.96,219.29,143.27,94.81,39.53,433.25,45.31,56.81,37,17.75,13.95,112.88,468.86,354.79,142.06,32.31,1.98,32.13,86.34,60.18,23.93
E07000245,West Suffolk,179951,1,54.62,57.28,64.95,38.54,58.57,141.6,184.93,191.89,106.96,73.08,27.59,477.04,34.18,75.16,36.42,50.54,11.88,117.28,493.42,358.71,122.06,24.46,1.34,28.52,79.83,60.72,22.41
E08000001,Bolton,295961,2.3,62.37,69.04,83.73,48.5,56.22,127.75,193.34,187.67,94.81,56.99,19.57,480.05,47.2,51.06,59.84,19.26,2,99.91,431.77,341.27,171.51,52.56,2.89,39.91,68.91,40.64,11.64
E08000002,Bury,193851,2.68,57.56,64.43,79.08,45.16,49.24,129.02,195.62,197.03,100.07,61.01,21.78,482.1,43.41,50.56,69.47,11.66,2.99,137.11,474.74,335.56,147.16,40.44,2.1,38.29,75.43,46.91,12.66
E08000003,Manchester,551943,1.65,62.29,66.24,77.98,64.72,112.13,182.24,197.3,142.6,54.9,28.8,10.82,508.29,45.14,51.16,64.38,5.82,4.04,134.01,435.59,328.43,172.02,60.46,3.5,59.05,65.04,22.28,4.99
E08000004,Oldham,242081,2.59,66.11,72.06,89.24,52.54,58.38,130.93,190.56,180.69,88.63,53.46,17.4,469.22,48.43,54.27,63.02,9.57,3.58,86.35,409.4,346.53,181.67,59.27,3.14,40.92,63.01,34.24,9.87
E08000005,Rochdale,223775,2.68,65.43,69.15,83.62,46.8,54.52,134.03,194.07,187.63,94.68,51.72,18.35,469.03,50.11,55.27,67.44,13.41,3.11,90.05,426.51,340.53,173.14,56.35,3.47,42.69,68.96,39.76,11.15
E08000006,Salford,269927,2.29,63.94,61.92,70.5,46.39,83.94,188.48,191.89,159.86,72.8,44.06,16.22,498.09,45.96,62.85,63,9.62,3.75,144.63,464.37,322.89,158.35,51.8,2.58,60.36,78.09,35.14,8.29
E08000007,Stockport,294776,2.22,56.23,61.26,71.97,38.93,45.35,125.52,200.45,199.21,104.99,68.06,28.03,493.94,40.77,44.72,68.48,6.76,3.63,170.15,512.65,321.52,129.82,33.9,2.11,36.28,79.49,53.76,15.07
E08000008,Tameside,231063,2.77,59.14,63.62,76.04,42.22,51.53,136.4,193.8,201.94,98.7,57.57,19.05,453.14,51.16,53.75,74.8,7.56,3.47,112.39,431.83,342,171.37,51.67,3.13,48.41,80.58,44.33,12.21
E08000009,Trafford,235063,2,57.29,68.11,82.64,43.46,44.8,116.86,217.85,193.31,91.43,59.42,24.84,530.95,35.76,41.37,64.9,9.02,3.93,193.35,538.96,308.5,121.18,29.95,1.41,32.33,72.73,49.53,13.15
E08000010,Wigan,329329,2.75,53.99,58.44,71.69,41.37,51.8,132.66,190.55,206.38,107.02,66.64,19.46,462.68,48.84,52.21,68.19,25.1,1.97,104.55,465.52,328.09,160.05,44.58,1.76,40.27,79.97,53.22,15.36
E08000011,Knowsley,154523,2.56,63,61.41,71.16,42.43,55.51,144.37,178.9,213.39,97.8,51.28,20.75,472.93,64.95,49.33,86.86,7.8,3.6,96.3,407.91,323.49,192.03,73.5,3.07,57.06,75.32,40.58,9.88
E08000012,Liverpool,486093,2.63,54.25,54.98,61.64,59.92,101.5,155.11,179.98,179.71,87.26,47.83,17.81,476.93,59.82,49.42,73.44,8.28,4.88,110.52,415.75,326.57,185.1,69.33,3.24,73.01,73.58,29.25,6.36
E08000013,St. Helens,183245,2.74,52.71,56.46,69.16,40.06,51.13,129.77,186.8,208.51,111.86,69.62,23.91,451.56,57.8,45.99,68.04,16.8,2.06,103.54,441.82,334.14,170.98,51.36,1.69,45.32,82.71,52.91,14.49
E08000014,Sefton,279231,2.8,48.38,53.97,65.41,39.61,48.34,115.94,175.78,220.62,119.56,78.88,33.5,463.59,53.55,52,51.76,23.11,4.42,124.45,452.32,340.04,161.02,44.39,2.23,51.23,82.85,46.9,13.28
E08000015,Wirral,320199,2.8,50.96,58.71,71.75,41.46,47.08,117.5,179.1,213.6,118.74,72.12,28.98,464.85,55.72,44.28,74.72,13.93,3.99,116.49,457.45,334.05,160.03,46.39,2.08,50.18,84.85,50.37,14.76
E08000016,Barnsley,244576,2.93,55.05,58.74,69.32,39.47,50.9,134.73,183.42,213.78,108.2,64.46,21.96,433.44,58.27,48.43,71.12,23.49,2.92,91.34,427.92,339.48,176.57,53.82,2.21,44.4,80.93,53.43,16.44
E08000017,Doncaster,308108,2.59,54.99,58.82,71.79,41.02,52.62,136.45,184.34,205.72,106.65,63.42,24.19,443.16,52.55,49.03,72.75,23.78,6.54,82.77,437.45,347.08,167.34,46.23,1.9,45.78,78.29,48.39,15.23
E08000018,Rotherham,265806,2.8,55.1,60.12,73.77,42.9,53.03,129.52,184.12,204.95,106.25,67.2,23.04,441.52,54.17,41.35,78.17,12.4,5.32,93.11,435.84,339.4,174.34,48.45,1.97,42.22,73.31,51.25,16.91
E08000019,Sheffield,556519,2.16,54.23,57.53,68.42,56.47,91.41,142.67,178.63,180.25,88.79,58.63,22.96,466.57,46.72,47.59,72.41,8.46,4.28,125.16,453.71,340,157.91,45.62,2.75,50.81,73.83,38.31,10.77
E08000021,Newcastle upon Tyne,300131,1.64,52.15,55.66,64.38,68.1,122.1,148.73,175.25,165.32,81.51,46.1,20.72,483.85,48.4,48.29,63.09,8.1,3.7,125.04,462.29,327.12,158.13,50.07,2.39,61.29,68.27,30.57,7.27
E08000022,North Tyneside,208952,2.06,52.61,57.14,69.51,38.27,45.49,124.75,199.03,207.94,114.72,64.51,26.03,460.25,48.76,46.26,75.52,5.39,2.81,147.11,494.37,324.88,142.67,36.85,1.23,58.99,94.5,47.69,10.91
E08000023,South Tyneside,147777,3.03,52.94,57.3,68.98,40.05,49.31,125.37,179.92,217.45,116.05,66.69,25.94,437.52,58.93,47.73,77.02,7.32,3.41,100.01,433.26,341.24,175.3,48.66,1.54,69.96,89.53,43.11,10.94
E08000024,Sunderland,274166,2.83,50.51,55.58,69.35,42.55,55.23,127.9,180.7,212.98,115.24,65.39,24.57,431.34,61.4,50.29,71.47,8.1,1.94,100.01,414.69,347.32,181.4,54.39,2.2,61.4,81.22,43.77,12.19
E08000025,Birmingham,1144916,2.37,65.53,70.98,86.47,61.57,81.44,146.24,194.5,161.83,69.81,42.82,18.8,475.58,45.2,38.99,67.67,9.77,3.19,99.62,404.1,346.59,186.23,59.14,3.94,43.33,56.96,27.89,8.62
E08000026,Coventry,345328,1.72,59.2,63.61,75.42,62.17,91.47,144.87,191.42,166.14,75.44,49.78,20.49,485.48,40.91,50.31,58,21.39,3.96,111.99,449.98,340.38,159.62,46.36,3.66,41.67,62.94,35.24,11.02
E08000027,Dudley,323495,2.23,56.19,61.13,71.25,43.37,52.59,129.25,183.13,198.9,104.55,72.55,27.11,438.48,47.29,48.84,75.31,10.72,2.75,97.17,441.55,345.5,168.51,42.58,1.87,36.79,73.09,51.52,18.14
E08000028,Sandwell,341835,2.82,64.87,71.87,85.02,50.6,59.6,138.76,204.98,178.91,77.56,49.23,18.61,448.57,51.11,46.06,80.99,8.23,4.27,77.08,379.19,353.61,201.5,62.66,3.03,42.46,61,31.53,10.19
E08000029,Solihull,216236,2.54,54.08,63.69,75.26,42.24,49.74,115.64,184.8,203.68,106.43,73.45,31,492.55,38.35,32.33,68.04,16.6,2.3,163.55,507.11,323.15,135.32,32.58,1.85,30.15,67.32,54.25,19.52
E08000030,Walsall,284130,3.1,64.03,68.8,81.94,47.79,56.88,132.39,188.92,185.15,89.42,61.04,23.64,444.06,50.05,47.74,71.41,11.43,3.95,77.58,402.13,350.09,189.01,55.96,2.82,38.93,62.95,39.79,14.34
E08000031,Wolverhampton,263730,2.79,61.9,67.22,80.51,45.96,59.88,136.34,199.83,184.25,85.72,54.58,23.82,448.35,49.11,51.49,63.17,24.38,4.37,79.63,403.4,352.41,187.47,53.73,2.99,45.28,65.02,36.36,12.28
E08000032,Bradford,546409,2.13,66.06,72.39,90.01,54.8,60.64,132.79,197.11,174.29,85.09,46.84,19.97,461.44,45.58,52.78,56.33,10.5,2.89,101.38,429.52,344.16,168.26,54.4,3.67,40.71,62.5,33.9,10.42
E08000033,Calderdale,206627,1.54,54.77,61.96,76.84,43.74,49,120.6,191.03,211.83,106.27,61.41,22.56,466.1,43.83,55.34,61.87,15.88,2.87,132.03,477.75,330.73,148.08,41.24,2.2,47,82.28,47.99,14.47
E08000034,Kirklees,433222,2.01,58.04,63.82,78.83,49.23,59.66,126.65,192.53,193.92,98.01,58.04,21.25,465.59,43.09,52.96,59.87,14.71,2.87,115.2,466.29,334.81,151.99,44.28,2.64,38.27,70.08,46.11,14.33
